duplicate_group_id,journey_id,touchpoint_position,num_duplicate_records,records_examined,record_retained,reason_retained,conflicting_fields,status
1,JRN-CUST-00073,2,2,TP-0000222;TP-0000223,TP-0000222,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
2,JRN-CUST-00090,2,2,TP-0000277;TP-0000278,TP-0000277,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
3,JRN-CUST-00107,4,2,TP-0000330;TP-0000331,TP-0000330,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
4,JRN-CUST-00164,4,2,TP-0000522;TP-0000523,TP-0000522,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
5,JRN-CUST-00182,1,2,TP-0000576;TP-0000577,TP-0000576,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
6,JRN-CUST-00230,1,2,TP-0000734;TP-0000735,TP-0000734,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
7,JRN-CUST-00237,3,2,TP-0000762;TP-0000763,TP-0000762,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
8,JRN-CUST-00243,6,2,TP-0000798;TP-0000799,TP-0000798,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
9,JRN-CUST-00274,2,2,TP-0000884;TP-0000885,TP-0000884,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
10,JRN-CUST-00329,2,2,TP-0001051;TP-0001052,TP-0001051,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
11,JRN-CUST-00366,2,2,TP-0001183;TP-0001184,TP-0001183,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
12,JRN-CUST-00367,5,2,TP-0001189;TP-0001190,TP-0001189,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
13,JRN-CUST-00378,4,2,TP-0001224;TP-0001225,TP-0001224,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
14,JRN-CUST-00452,2,2,TP-0001440;TP-0001441,TP-0001440,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
